Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Gladstone Land Corp.,0.00%,Other Specialty REITs,US,"$83,202.34 ","3,812",LAND
Innovative Industrial Properties Inc.,0.00%,Other Specialty REITs,US,"$274,302.76 ","2,953",IIPR
Sherwin-Williams Co.,0.13%,Paints and Coatings,US,"$7,927,289.72 ","24,632",SHW
RPM International Inc.,0.03%,Paints and Coatings,US,"$1,517,506.03 ","13,654",RPM
Axalta Coating Systems Ltd.,0.02%,Paints and Coatings,BM,"$996,739.32 ","23,303",AXTA
Chase Corp.,0.00%,Paints and Coatings,US,"$115,114.53 ",777,CCF
International Paper Co.,0.03%,Paper,US,"$1,664,350.61 ","37,102",IP
Clearwater Paper Corp.,0.00%,Paper,US,"$81,030.58 ","1,657",CLW
Mativ Holdings Inc.,0.00%,Paper,US,"$153,074.76 ","5,833",MATV
Procter & Gamble Co.,0.90%,Personal Products,US,"$52,945,144.20 ","249,893",PG
Colgate-Palmolive Co.,0.16%,Personal Products,US,"$9,503,882.31 ","87,904",CL
Kimberly-Clark Corp.,0.12%,Personal Products,US,"$7,008,992.07 ","35,705",KMB
Beauty Health Co.,0.00%,Personal Products,US,"$142,562.72 ","9,182",SKIN
Nu Skin Enterprises Inc.,0.00%,Personal Products,US,"$265,406.60 ","4,964",NUS
Merck & Co. Inc.,0.71%,Pharmaceuticals,US,"$42,013,983.72 ","268,555",MRK
Amgen Inc.,0.31%,Pharmaceuticals,US,"$18,372,656.66 ","56,564",AMGN
Gilead Sciences Inc.,0.25%,Pharmaceuticals,US,"$14,716,234.68 ","132,124",GILD
Seagen Inc.,0.07%,Pharmaceuticals,US,"$4,019,941.61 ","14,835",SGEN
BioMarin Pharmaceutical Inc.,0.04%,Pharmaceuticals,US,"$2,563,061.76 ","19,698",BMRN
Royalty Pharma plc,0.03%,Pharmaceuticals,GB,"$1,900,591.15 ","39,909",RPRX
United Therapeutics Corp.,0.03%,Pharmaceuticals,US,"$1,526,838.12 ","4,897",UTHR
Viatris Inc.,0.03%,Pharmaceuticals,US,"$1,623,612.54 ","128,443",VTRS
Catalent Inc.,0.02%,Pharmaceuticals,US,"$1,231,953.15 ","18,142",CTLT
Organon & Co.,0.02%,Pharmaceuticals,US,"$900,374.00 ","26,982",OGN
Perrigo Co. plc,0.01%,Pharmaceuticals,IE,"$719,495.73 ","14,279",PRGO
Prestige Consumer Healthcare Inc.,0.01%,Pharmaceuticals,US,"$439,600.38 ","5,273",PBH
AcelRx Pharmaceuticals Inc.,0.00%,Pharmaceuticals,US,$349.22 ,385,ACRX
Adamis Pharmaceuticals Corp.,0.00%,Pharmaceuticals,US,"$1,569.90 ","13,961",ADMP
Alimera Sciences Inc.,0.00%,Pharmaceuticals,US,$716.33 ,297,ALIM
Amphastar Pharmaceuticals Inc.,0.00%,Pharmaceuticals,US,"$184,788.03 ","3,813",AMPH
Assertio Holdings Inc.,0.00%,Pharmaceuticals,US,"$42,205.91 ","5,654",ASRT
ChromaDex Corp.,0.00%,Pharmaceuticals,US,"$13,753.30 ","7,690",CDXC
Collegium Pharmaceutical Inc.,0.00%,Pharmaceuticals,US,"$106,515.04 ","3,378",COLL
Corcept Therapeutics Inc.,0.00%,Pharmaceuticals,US,"$279,214.71 ","9,147",CORT
Cyclo Therapeutics Inc.,0.00%,Pharmaceuticals,US,$800.13 ,603,CYTH
Eton Pharmaceuticals Inc.,0.00%,Pharmaceuticals,US,"$10,568.19 ","2,149",ETON
EyePoint Pharmaceuticals Inc.,0.00%,Pharmaceuticals,US,"$25,815.75 ","3,034",EYPT
GT Biopharma Inc.,0.00%,Pharmaceuticals,US,"$1,420.99 ","2,742",GTBP
Heska Corp.,0.00%,Pharmaceuticals,US,"$174,076.63 ","1,097",HSKA
Ironwood Pharmaceuticals Inc.,0.00%,Pharmaceuticals,US,"$196,675.02 ","13,945",IRWD
Mallinckrodt plc,0.00%,Pharmaceuticals,IE,"$12,256.88 ","1,549",MNK
Novan Inc.,0.00%,Pharmaceuticals,US,"$3,122.76 ","1,859",NOVN
Ocular Therapeutix Inc.,0.00%,Pharmaceuticals,US,"$66,189.13 ","7,880",OCUL
Omeros Corp.,0.00%,Pharmaceuticals,US,"$48,800.02 ","6,210",OMER
Optinose Inc.,0.00%,Pharmaceuticals,US,"$18,299.34 ","7,899",OPTN
PetIQ Inc.,0.00%,Pharmaceuticals,US,"$47,218.73 ","2,956",PETQ
Phibro Animal Health Corp.,0.00%,Pharmaceuticals,US,"$41,297.23 ","1,959",PAHC
scPharmaceuticals Inc.,0.00%,Pharmaceuticals,US,"$34,109.04 ","2,553",SCPH
SCYNEXIS Inc.,0.00%,Pharmaceuticals,US,"$14,336.83 ","3,359",SCYX
SIGA Technologies Inc.,0.00%,Pharmaceuticals,US,"$32,033.05 ","4,055",SIGA
Supernus Pharmaceuticals Inc.,0.00%,Pharmaceuticals,US,"$269,195.84 ","5,390",SUPN
TherapeuticsMD Inc.,0.00%,Pharmaceuticals,US,"$4,081.13 ",851,TXMD
Travere Therapeutics Inc.,0.00%,Pharmaceuticals,US,"$229,792.64 ","7,863",TVTX
VYNE Therapeutics Inc.,0.00%,Pharmaceuticals,US,$0.02 ,0,VYNE
Zynerba Pharmaceuticals Inc.,0.00%,Pharmaceuticals,US,"$2,698.50 ","5,187",ZYNE
Eastman Kodak Co.,0.00%,Photography,US,"$31,454.02 ","7,056",KODK
Cheniere Energy Inc.,0.09%,Pipelines,US,"$5,350,850.69 ","25,813",LNG
Williams Cos. Inc.,0.09%,Pipelines,US,"$5,289,945.09 ","129,030",WMB.BE
Kinder Morgan Inc.,0.08%,Pipelines,US,"$4,703,462.76 ","202,424",KMI
Targa Resources Corp.,0.04%,Pipelines,US,"$2,459,446.43 ","24,034",TRGP
DT Midstream Inc.,0.01%,Pipelines,US,"$689,714.99 ","10,332",DTM
Core Molding Technologies Inc.,0.00%,Plastics,US,"$15,707.26 ",618,CMT
Danimer Scientific Inc.,0.00%,Plastics,US,"$42,612.65 ","9,953",DNMR
PureCycle Technologies Inc.,0.00%,Plastics,US,"$99,315.96 ","11,157",PCT
Hecla Mining Co.,0.01%,Platinum and Precious Metals,US,"$501,014.81 ","61,123",HL
Golden Minerals Co.,0.00%,Platinum and Precious Metals,US,"$4,761.70 ","15,281",AUMN
Westwater Resources Inc.,0.00%,Platinum and Precious Metals,US,"$5,289.82 ","4,820",WWR
Coherent Corp.,0.01%,Production Technology Equipment,US,"$578,558.06 ","12,508",COHR
IPG Photonics Corp.,0.01%,Production Technology Equipment,US,"$478,854.63 ","3,074",IPGP
Onto Innovation Inc.,0.01%,Production Technology Equipment,US,"$572,102.61 ","5,214",ONTO
ACM Research Inc.,0.00%,Production Technology Equipment,US,"$57,479.09 ","4,537",ACMR
Adeia Inc.,0.00%,Production Technology Equipment,US,"$108,020.17 ","10,436",ADEA
Data I/O Corp.,0.00%,Production Technology Equipment,US,"$3,766.60 ",616,DAIO
Trio-Tech International,0.00%,Production Technology Equipment,US,"$2,107.93 ",358,TRT
Ultra Clean Holdings Inc.,0.00%,Production Technology Equipment,US,"$177,668.25 ","4,595",UCTT
Accenture plc,0.43%,Professional Business Support Services,IE,"$25,326,120.21 ","66,691",ACN
Automatic Data Processing Inc.,0.22%,Professional Business Support Services,US,"$13,079,304.27 ","43,880",ADP
Paychex Inc.,0.09%,Professional Business Support Services,US,"$5,113,148.72 ","34,352",PAYX
Verisk Analytics Inc.,0.07%,Professional Business Support Services,US,"$4,355,029.40 ","16,560",VRSK
Fair Isaac Corp.,0.04%,Professional Business Support Services,US,"$2,495,015.01 ","2,530",FICO
Jacobs Solutions Inc.,0.04%,Professional Business Support Services,US,"$2,100,975.33 ","13,431",J
Paylocity Holding Corp.,0.02%,Professional Business Support Services,US,"$1,158,302.93 ","4,423",PCTY
ABM Industries Inc.,0.01%,Professional Business Support Services,US,"$399,907.75 ","6,932",ABM
Alight Inc.,0.01%,Professional Business Support Services,US,"$475,345.01 ","37,929",ALIT
ExlService Holdings Inc.,0.01%,Professional Business Support Services,US,"$805,997.03 ","3,335",EXLS
TriNet Group Inc.,0.01%,Professional Business Support Services,US,"$479,479.83 ","3,814",TNET
Acacia Research Corp.,0.00%,Professional Business Support Services,US,"$24,260.03 ","4,651",ACTG
AmpliTech Group Inc.,0.00%,Professional Business Support Services,US,"$1,924.13 ",452,AMPG
Biotricity Inc.,0.00%,Professional Business Support Services,US,"$2,049.95 ","2,883",BTCY
BrightView Holdings Inc.,0.00%,Professional Business Support Services,US,"$31,131.35 ","4,155",BV
CoreCivic Inc.,0.00%,Professional Business Support Services,US,"$136,130.36 ","11,431",CXW
CRA International Inc.,0.00%,Professional Business Support Services,US,"$102,322.40 ",718,CRAI
CS Disco Inc.,0.00%,Professional Business Support Services,US,"$19,033.44 ","2,389",LAW
Donnelley Financial Solutions Inc.,0.00%,Professional Business Support Services,US,"$140,329.71 ","2,395",DFIN
Fathom Digital Manufacturing C,0.00%,Professional Business Support Services,US,$18.08 ,28,FATH
First Advantage Corp.,0.00%,Professional Business Support Services,US,"$93,766.32 ","5,382",FA
Forrester Research Inc.,0.00%,Professional Business Support Services,US,"$51,398.38 ","1,226",FORR
Global Business Travel Group I,0.00%,Professional Business Support Services,US,"$15,474.80 ","1,857",GBTG
HireRight Holdings Corp.,0.00%,Professional Business Support Services,US,"$33,121.17 ","2,306",HRT
Montrose Environmental Group Inc.,0.00%,Professional Business Support Services,US,"$121,606.18 ","2,947",MEG
MSP Recovery Inc.,0.00%,Professional Business Support Services,US,"$5,316.10 ","6,326",LIFW
NV5 Global Inc.,0.00%,Professional Business Support Services,US,"$194,717.32 ","1,517",NVEE
PFSweb Inc.,0.00%,Professional Business Support Services,US,"$10,759.22 ","1,975",PFSW
Pitney Bowes Inc.,0.00%,Professional Business Support Services,US,"$77,014.00 ","16,195",PBI
Rekor Systems Inc.,0.00%,Professional Business Support Services,US,"$8,210.83 ","5,009",REKR
Resources Connection Inc.,0.00%,Professional Business Support Services,US,"$71,976.61 ","3,641",RGP
StarTek Inc.,0.00%,Professional Business Support Services,US,"$5,737.37 ","1,287",SRT
Target Hospitality Corp.,0.00%,Professional Business Support Services,US,"$51,457.84 ","3,012",TH
TaskUS Inc.,0.00%,Professional Business Support Services,US,"$52,171.23 ","2,861",TASK
Team Inc.,0.00%,Professional Business Support Services,US,"$1,606.76 ",229,TISI
Where Food Comes From Inc.,0.00%,Professional Business Support Services,US,"$4,385.85 ",238,WFCF
Chubb Ltd.,0.20%,Property and Casualty Insurance,CH,"$12,007,206.55 ","43,969",0VQD.L
Progressive Corp.,0.19%,Property and Casualty Insurance,US,"$11,459,048.98 ","62,007",PGR
Travelers Cos. Inc.,0.10%,Property and Casualty Insurance,US,"$6,031,309.13 ","24,576",TRV.VI
Markel Corp.,0.04%,Property and Casualty Insurance,US,"$2,504,255.44 ","1,351",MKL
Loews Corp.,0.03%,Property and Casualty Insurance,US,"$1,648,734.01 ","21,138",L
W R Berkley Corp.,0.03%,Property and Casualty Insurance,US,"$1,678,026.75 ","21,021",WRB
Old Republic International Corp.,0.02%,Property and Casualty Insurance,US,"$990,890.88 ","28,942",ORI
Enstar Group Ltd.,0.01%,Property and Casualty Insurance,BM,"$359,187.33 ","1,102",48R.F
Erie Indemnity Co.,0.01%,Property and Casualty Insurance,US,"$792,985.20 ","2,693",ERIE
White Mountains Insurance Group Ltd.,0.01%,Property and Casualty Insurance,BM,"$503,160.12 ",259,WTM
AMERISAFE Inc.,0.00%,Property and Casualty Insurance,US,"$156,250.14 ","2,072",AMSF
Crawford & Co.,0.00%,Property and Casualty Insurance,US,"$28,143.53 ","2,549",CRD-A
Donegal Group Inc.,0.00%,Property and Casualty Insurance,US,"$35,206.06 ","1,846",DGICA
Hagerty Inc.,0.00%,Property and Casualty Insurance,US,"$30,128.78 ","2,222",HGTY
Hallmark Financial Services Inc.,0.00%,Property and Casualty Insurance,US,$799.71 ,105,HALL
Kingsway Financial Services Inc.,0.00%,Property and Casualty Insurance,US,"$14,643.55 ","1,245",KFS
NI Holdings Inc.,0.00%,Property and Casualty Insurance,US,"$21,584.38 ","1,181",NGTF
Palomar Holdings Inc.,0.00%,Property and Casualty Insurance,US,"$169,482.00 ","2,489",PLMR
ProAssurance Corp.,0.00%,Property and Casualty Insurance,US,"$136,604.73 ","5,614",PRA
United Insurance Holdings Corp.,0.00%,Property and Casualty Insurance,US,"$7,006.44 ","1,252",UIHC
Universal Insurance Holdings Inc.,0.00%,Property and Casualty Insurance,US,"$58,872.32 ","2,818",UVE
New York Times Co.,0.02%,Publishing,US,"$895,615.73 ","16,630",NYT
News Corp.,0.02%,Publishing,US,"$1,143,349.13 ","47,921",NWSA
News Corp.,0.02%,Publishing,US,"$1,143,349.13 ","47,921",NWSA
Daily Journal Corp.,0.00%,Publishing,US,"$50,940.73 ",138,DJCO
DallasNews Corp.,0.00%,Publishing,US,"$3,498.30 ",602,DALN
Gannett Co. Inc.,0.00%,Publishing,US,"$40,703.99 ","15,812",GCI
John Wiley & Sons Inc.,0.00%,Publishing,US,"$233,573.14 ","4,470",WLY
Lee Enterprises Inc.,0.00%,Publishing,US,"$8,203.27 ",526,LEE
News Corp.,0.00%,Publishing,US,"$122,200.01 ","5,081",NWSA
News Corp.,0.00%,Publishing,US,"$122,200.01 ","5,081",NWSA
Fox Corp.,0.02%,Radio and TV Broadcasters,US,"$1,375,860.07 ","30,532",FOX
Fox Corp.,0.02%,Radio and TV Broadcasters,US,"$1,375,860.07 ","30,532",FOX
Nexstar Media Group Inc.,0.02%,Radio and TV Broadcasters,US,"$896,412.97 ","3,815",NXST
Fox Corp.,0.01%,Radio and TV Broadcasters,US,"$619,641.86 ","14,975",FOX
Fox Corp.,0.01%,Radio and TV Broadcasters,US,"$619,641.86 ","14,975",FOX
Sirius XM Holdings Inc.,0.01%,Radio and TV Broadcasters,US,"$321,885.50 ","62,521",SIRI
TEGNA Inc.,0.01%,Radio and TV Broadcasters,US,"$552,319.41 ","23,840",TGNA
Audacy Inc.,0.00%,Radio and TV Broadcasters,US,"$1,705.80 ","10,688",AUD
Beasley Broadcast Group Inc.,0.00%,Radio and TV Broadcasters,US,"$1,408.73 ","1,072",BBGI
iHeartMedia Inc.,0.00%,Radio and TV Broadcasters,US,"$52,564.23 ","11,181",IHRT
Saga Communications Inc.,0.00%,Radio and TV Broadcasters,US,"$13,775.72 ",457,SGA
Salem Media Group Inc.,0.00%,Radio and TV Broadcasters,US,"$1,994.55 ","1,429",SALM
Sinclair Broadcast Group Inc.,0.00%,Radio and TV Broadcasters,US,"$117,818.27 ","4,372",SBGI
Union Pacific Corp.,0.29%,Railroads,US,"$17,183,926.68 ","64,810",UNP
Howard Hughes Corp.,0.01%,Real Estate Holding and Development,US,"$365,297.34 ","3,485",HHC
Alset Inc.,0.00%,Real Estate Holding and Development,US,$537.50 ,264,AEI
AMREP Corp.,0.00%,Real Estate Holding and Development,US,"$7,442.63 ",395,AXR
Forestar Group Inc.,0.00%,Real Estate Holding and Development,US,"$48,131.48 ","1,837",FOR
Indus Realty Trust Inc.,0.00%,Real Estate Holding and Development,US,"$55,662.84 ",617,FR
Maui Land & Pineapple Co. Inc.,0.00%,Real Estate Holding and Development,US,"$11,627.49 ",687,MLP
Opendoor Technologies Inc.,0.00%,Real Estate Holding and Development,US,"$104,136.91 ","55,697",OPEN
Radius Global Infrastructure Inc.,0.00%,Real Estate Holding and Development,US,"$160,879.65 ","8,083",RADI
Rafael Holdings Inc.,0.00%,Real Estate Holding and Development,US,"$3,700.61 ","1,301",RFL
Stratus Properties Inc.,0.00%,Real Estate Holding and Development,US,"$27,121.57 ",935,STRS
Tejon Ranch Co.,0.00%,Real Estate Holding and Development,US,"$48,683.54 ","2,079",TRC
Trinity Place Holdings Inc.,0.00%,Real Estate Holding and Development,US,"$1,066.06 ","2,580",TPHS
WeWork Inc.,0.00%,Real Estate Holding and Development,US,"$17,425.97 ","30,515",WE
Compass Inc.,0.00%,Real Estate Services,US,"$93,904.18 ","29,620",COMP
Cushman & Wakefield plc,0.00%,Real Estate Services,GB,"$228,108.60 ","17,093",CWK
Douglas Elliman Inc.,0.00%,Real Estate Services,US,"$28,296.77 ","6,547",DOUG
eXp World Holdings Inc.,0.00%,Real Estate Services,US,"$130,112.79 ","8,215",EXPI
Newmark Group Inc.,0.00%,Real Estate Services,US,"$115,715.40 ","13,471",NMRK
Redfin Corp.,0.00%,Real Estate Services,US,"$111,593.50 ","11,056",RDFN
RMR Group Inc.,0.00%,Real Estate Services,US,"$48,662.01 ","1,512",RMR
Pool Corp.,0.03%,Recreational Products,US,"$1,868,910.32 ","3,926",POOL
Fox Factory Holding Corp.,0.01%,Recreational Products,US,"$673,530.33 ","4,484",FOXF
Topgolf Callaway Brands Corp.,0.01%,Recreational Products,US,"$441,982.21 ","14,715",MODG
YETI Holdings Inc.,0.01%,Recreational Products,US,"$485,747.38 ","9,088",YETI
AMMO Inc.,0.00%,Recreational Products,US,"$22,695.36 ","8,503",POWW
Nautilus Inc.,0.00%,Recreational Products,US,"$6,065.35 ","3,366",NLS
Smith & Wesson Brands Inc.,0.00%,Recreational Products,US,"$79,550.16 ","4,885",SWBI
Sturm Ruger & Co. Inc.,0.00%,Recreational Products,US,"$145,979.39 ","1,872",RGR
Live Nation Entertainment Inc.,0.03%,Recreational Services,US,"$1,580,187.28 ","17,207",LYV
Madison Square Garden Sports Corp.,0.01%,Recreational Services,US,"$506,669.23 ","1,865",MSGS
Bowlero Corp.,0.00%,Recreational Services,US,"$81,922.78 ","4,133",BOWL
F45 Training Holdings Inc.,0.00%,Recreational Services,US,"$4,754.98 ","4,128",FXLV
Life Time Group Holdings Inc.,0.00%,Recreational Services,US,"$145,165.82 ","5,154",LTH
Madison Square Garden Entertainment Corp.,0.00%,Recreational Services,US,"$123,213.05 ","2,818",MSGE
RCI Hospitality Holdings Inc.,0.00%,Recreational Services,US,"$87,610.66 ",863,RICK
Xponential Fitness Inc.,0.00%,Recreational Services,US,"$91,377.79 ","2,039",XPOF
XWELL Inc.,0.00%,Recreational Services,US,"$3,546.24 ","10,683",XWEL
Polaris Inc.,0.01%,Recreational Vehicles and Boats,US,"$846,477.17 ","5,750",PII
Thor Industries Inc.,0.01%,Recreational Vehicles and Boats,US,"$577,460.24 ","5,394",THO
Camping World Holdings Inc.,0.00%,Recreational Vehicles and Boats,US,"$134,635.08 ","4,438",CWH
MasterCraft Boat Holdings Inc.,0.00%,Recreational Vehicles and Boats,US,"$70,162.52 ","1,769",MCFT
Volcon Inc.,0.00%,Recreational Vehicles and Boats,US,"$2,176.93 ","1,236",VLCN
Winnebago Industries Inc.,0.00%,Recreational Vehicles and Boats,US,"$243,055.50 ","3,086",WGO
Reinsurance Group of America Inc.,0.02%,Reinsurance,US,"$1,361,000.15 ","7,058",RGA
Greenlight Capital Re Ltd.,0.00%,Reinsurance,KY,"$35,071.54 ","2,647",GLRE
SiriusPoint Ltd.,0.00%,Reinsurance,BM,"$99,063.29 ","8,414",SPNT
Enphase Energy Inc.,0.05%,Renewable Energy Equipment,US,"$3,214,732.73 ","14,450",ENPH
Arcosa Inc.,0.01%,Renewable Energy Equipment,US,"$471,237.92 ","5,150",ACA
Plug Power Inc.,0.01%,Renewable Energy Equipment,US,"$754,796.34 ","61,695",PLUG
374Water Inc.,0.00%,Renewable Energy Equipment,US,"$22,825.54 ","5,789",SCWO
Ameresco Inc.,0.00%,Renewable Energy Equipment,US,"$192,683.77 ","3,419",AMRC
American Superconductor Corp.,0.00%,Renewable Energy Equipment,US,"$15,424.59 ","2,811",AMSC
Capstone Green Energy Corp.,0.00%,Renewable Energy Equipment,US,"$1,718.74 ","1,015",CGRN
FTC Solar Inc.,0.00%,Renewable Energy Equipment,US,"$18,700.84 ","5,056",FTCI
Ideal Power Inc.,0.00%,Renewable Energy Equipment,US,"$6,630.98 ",508,IPWR
iSun Inc.,0.00%,Renewable Energy Equipment,US,$704.68 ,826,ISUN
NEXTracker Inc.,0.00%,Renewable Energy Equipment,US,"$136,314.14 ","3,195",NXT
Pineapple Energy Inc.,0.00%,Renewable Energy Equipment,US,"$1,040.74 ",557,PEGY
Sunworks Inc.,0.00%,Renewable Energy Equipment,US,"$4,865.30 ","4,428",SUNW
TPI Composites Inc.,0.00%,Renewable Energy Equipment,US,"$70,748.35 ","4,225",TPIC
Avis Budget Group Inc.,0.01%,Rental and Leasing Services: Consumer,US,"$499,460.68 ","2,087",CAR
Hertz Global Holdings Inc.,0.01%,Rental and Leasing Services: Consumer,US,"$309,305.40 ","13,687",HTZ
U-Haul Holding Co.,0.01%,Rental and Leasing Services: Consumer,US,"$756,916.66 ","10,327",UHAL
Bird Global Inc.,0.00%,Rental and Leasing Services: Consumer,US,"$3,974.51 ","21,666",BRDS
FlexShopper Inc.,0.00%,Rental and Leasing Services: Consumer,US,"$1,573.67 ","1,449",FPAY
U-Haul Holding Co.,0.00%,Rental and Leasing Services: Consumer,US,"$76,584.14 ",926,UHAL
AvalonBay Communities Inc.,0.06%,Residential REITs,US,"$3,619,760.54 ","14,812",AVB
Invitation Homes Inc.,0.05%,Residential REITs,US,"$2,926,664.02 ","64,733",INVH
Sun Communities Inc.,0.04%,Residential REITs,US,"$2,473,654.41 ","13,142",SUI
Essex Property Trust Inc.,0.03%,Residential REITs,US,"$2,036,221.61 ","6,840",ESS
American Homes 4 Rent,0.02%,Residential REITs,US,"$1,345,918.22 ","29,868",AMH
Independence Realty Trust Inc.,0.01%,Residential REITs,US,"$532,076.28 ","23,587",IRT
Apartment Investment and Management Co.,0.00%,Residential REITs,US,"$159,720.27 ","15,056",AIV
Bluerock Homes Trust Inc.,0.00%,Residential REITs,US,"$9,980.81 ",373,BHM
Centerspace,0.00%,Residential REITs,US,"$118,239.42 ","1,548",CSR
NexPoint Residential Trust Inc.,0.00%,Residential REITs,US,"$134,175.42 ","2,307",NXRT
Starbucks Corp.,0.32%,Restaurants and Bars,US,"$18,848,068.89 ","121,722",SBUX
Chipotle Mexican Grill Inc.,0.14%,Restaurants and Bars,US,"$8,195,115.70 ","2,925",CMG
Darden Restaurants Inc.,0.05%,Restaurants and Bars,US,"$2,651,815.37 ","12,883",DRI
Aramark,0.02%,Restaurants and Bars,US,"$1,295,239.39 ","27,550",ARMK
Cracker Barrel Old Country Store Inc.,0.01%,Restaurants and Bars,US,"$338,582.09 ","2,354",CBRL
Papa John's International Inc.,0.01%,Restaurants and Bars,US,"$338,695.04 ","3,343",PZZA
Wendy's Co.,0.01%,Restaurants and Bars,US,"$536,625.82 ","17,922",WEN
Ark Restaurants Corp.,0.00%,Restaurants and Bars,US,"$4,496.20 ",190,ARKR
Biglari Holdings Inc.,0.00%,Restaurants and Bars,US,"$14,741.90 ",63,BH
Biglari Holdings Inc.,0.00%,Restaurants and Bars,US,"$14,741.90 ",63,BH
Biglari Holdings Inc.,0.00%,Restaurants and Bars,US,"$7,537.46 ",6,BH
Biglari Holdings Inc.,0.00%,Restaurants and Bars,US,"$7,537.46 ",6,BH
BJ's Restaurants Inc.,0.00%,Restaurants and Bars,US,"$103,768.14 ","2,354",BJRI
Brinker International Inc.,0.00%,Restaurants and Bars,US,"$250,381.59 ","4,629",EAT
BurgerFi International Inc.,0.00%,Restaurants and Bars,US,"$1,420.40 ","1,058",BFI
Carrols Restaurant Group Inc.,0.00%,Restaurants and Bars,US,"$16,808.99 ","3,222",TAST
Cheesecake Factory Inc.,0.00%,Restaurants and Bars,US,"$224,923.34 ","4,928",CAKE
Denny's Corp.,0.00%,Restaurants and Bars,US,"$90,134.26 ","5,935",DENN
Dutch Bros Inc.,0.00%,Restaurants and Bars,US,"$181,565.69 ","4,302",BROS
FAT Brands Inc.,0.00%,Restaurants and Bars,US,"$3,875.30 ",525,FAT
FAT Brands Inc.,0.00%,Restaurants and Bars,US,"$3,875.30 ",525,FAT
FAT Brands Inc.,0.00%,Restaurants and Bars,US,$432.57 ,61,FAT
FAT Brands Inc.,0.00%,Restaurants and Bars,US,$432.57 ,61,FAT
Fiesta Restaurant Group Inc.,0.00%,Restaurants and Bars,US,"$19,902.39 ","1,829",FRGI
First Watch Restaurant Group Inc.,0.00%,Restaurants and Bars,US,"$45,042.26 ","2,067",FWRG
Flanigan's Enterprises Inc.,0.00%,Restaurants and Bars,US,"$1,515.23 ",41,BDL
Jack in the Box Inc.,0.00%,Restaurants and Bars,US,"$274,674.07 ","2,187",JACK
Kura Sushi USA Inc.,0.00%,Restaurants and Bars,US,"$53,854.23 ",577,KRUS
Muscle Maker Inc.,0.00%,Restaurants and Bars,US,"$2,636.60 ","1,532",GRIL
Noodles & Co.,0.00%,Restaurants and Bars,US,"$32,831.85 ","4,905",NDLS
ONE Group Hospitality Inc.,0.00%,Restaurants and Bars,US,"$33,988.46 ","3,204",STKS
Portillo's Inc.,0.00%,Restaurants and Bars,US,"$147,590.01 ","5,039",PTLO
Potbelly Corp.,0.00%,Restaurants and Bars,US,"$30,454.50 ","2,145",PBPB
Red Robin Gourmet Burgers Inc.,0.00%,Restaurants and Bars,US,"$31,914.36 ","1,802",RRGB
Realty Income Corp.,0.10%,Retail REITs,US,"$5,954,622.28 ","69,940",O
Simon Property Group Inc.,0.09%,Retail REITs,US,"$5,316,080.30 ","34,625",SPG
Kimco Realty Corp.,0.03%,Retail REITs,US,"$1,700,648.14 ","65,411",KIM
Brixmor Property Group Inc.,0.02%,Retail REITs,US,"$914,582.23 ","31,648",BRX
Agree Realty Corp.,0.01%,Retail REITs,US,"$875,536.98 ","9,505",ADC
Kite Realty Group Trust,0.01%,Retail REITs,US,"$648,327.24 ","23,095",KRG
Macerich Co.,0.01%,Retail REITs,US,"$323,085.86 ","23,870",MAC
Phillips Edison & Co. Inc.,0.01%,Retail REITs,US,"$530,618.15 ","12,417",PECO
SITE Centers Corp.,0.01%,Retail REITs,US,"$315,914.71 ","18,896",SITC
Necessity Retail REIT Inc.,0.00%,Retail REITs,US,"$101,739.51 ","13,628",RTL
NETSTREIT Corp.,0.00%,Retail REITs,US,"$148,676.93 ","6,023",NTST
RPT Realty,0.00%,Retail REITs,US,"$115,258.68 ","9,147",RPT
Saul Centers Inc.,0.00%,Retail REITs,US,"$72,968.81 ","1,495",BFS
Urban Edge Properties,0.00%,Retail REITs,US,"$231,931.81 ","11,669",UE
Urstadt Biddle Properties Inc.,0.00%,Retail REITs,US,"$48,990.73 ","2,100",UBA
Urstadt Biddle Properties Inc.,0.00%,Retail REITs,US,"$25,260.88 ","1,167",UBA
Wheeler Real Estate Investment Trust Inc.,0.00%,Retail REITs,US,$688.72 ,446,WHLR
Brink's Co.,0.01%,Security Services,US,"$398,261.34 ","4,677",BCO
ADT Inc.,0.00%,Security Services,US,"$290,409.34 ","31,992",ADT
Evolv Technologies Holdings Inc.,0.00%,Security Services,US,"$28,567.68 ","5,857",EVLV
SoundThinking Inc.,0.00%,Security Services,US,"$35,852.87 ",889,SSTI
Broadcom Inc.,0.64%,Semiconductors,US,"$37,479,004.59 ","44,155",AVGO
QUALCOMM Inc.,0.32%,Semiconductors,US,"$18,687,798.63 ","118,093",QCOM
Intel Corp.,0.31%,Semiconductors,US,"$18,438,864.41 ","438,169",INTC
Micron Technology Inc.,0.17%,Semiconductors,US,"$10,078,519.04 ","115,582",MU
Marvell Technology Inc.,0.08%,Semiconductors,US,"$4,834,797.65 ","90,388",MRVL
ON Semiconductor Corp.,0.08%,Semiconductors,US,"$4,459,492.65 ","45,741",ON
Monolithic Power Systems Inc.,0.05%,Semiconductors,US,"$2,966,466.35 ","4,740",MPWR
Lattice Semiconductor Corp.,0.03%,Semiconductors,US,"$1,571,279.31 ","14,551",LSCC
