Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Berkshire Hills Bancorp Inc.,0.00%,Banks,US,"$127,300.58 ","4,417",BHLB
Blue Foundry Bancorp,0.00%,Banks,US,"$34,774.44 ","2,668",BLFY
Blue Ridge Bankshares Inc.,0.00%,Banks,US,"$23,472.11 ","1,792",BRBS
BOK Financial Corp.,0.00%,Banks,US,"$283,099.63 ","2,491",BOKF
Bridgewater Bancshares Inc.,0.00%,Banks,US,"$26,390.84 ","1,958",BWB
Brookline Bancorp Inc.,0.00%,Banks,US,"$112,007.49 ","8,666",BRKL
Business First Bancshares Inc.,0.00%,Banks,US,"$54,054.08 ","2,587",BFST
Byline Bancorp Inc.,0.00%,Banks,US,"$69,471.05 ","2,650",BY
C&F Financial Corp.,0.00%,Banks,US,"$24,399.59 ",338,CFFI
California BanCorp,0.00%,Banks,US,"$17,885.38 ",748,BCAL
Cambridge Bancorp,0.00%,Banks,US,"$52,999.88 ",757,CATC
Camden National Corp.,0.00%,Banks,US,"$59,484.53 ","1,374",CAC
Capital Bancorp Inc.,0.00%,Banks,US,"$19,045.60 ",834,CBNK
Capital City Bank Group Inc.,0.00%,Banks,US,"$55,866.36 ","1,354",CCBG
Capitol Federal Financial Inc.,0.00%,Banks,US,"$113,154.39 ","13,471",CFFN
Capstar Financial Holdings Inc.,0.00%,Banks,US,"$30,993.96 ","1,710",CSTR
Carter Bankshares Inc.,0.00%,Banks,US,"$42,250.46 ","2,427",CARE
Carver Bancorp Inc.,0.00%,Banks,US,"$2,766.05 ",454,CARV
Catalyst Bancorp Inc.,0.00%,Banks,US,"$7,512.72 ",515,CLST
CB Financial Services Inc.,0.00%,Banks,US,"$13,693.72 ",470,CBFV
Central Pacific Financial Corp.,0.00%,Banks,US,"$58,669.69 ","2,727",CPF
Central Valley Community Bancorp,0.00%,Banks,US,"$22,602.01 ","1,143",CVCY
CF Bankshares Inc.,0.00%,Banks,US,"$6,149.83 ",268,CFBK
CFSB Bancorp Inc.,0.00%,Banks,US,$59.76 ,6,CFSB
Chemung Financial Corp.,0.00%,Banks,US,"$19,194.11 ",353,CHMG
ChoiceOne Financial Services Inc.,0.00%,Banks,US,"$23,571.61 ",718,COFS
Citizens & Northern Corp.,0.00%,Banks,US,"$36,208.22 ","1,399",CZNC
